Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),_id,f9e91a97-7a74-4369-b9a7-e2aef0aef838-cee01a05-8145-4d36-bffb-355f3fa90f0e,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventId,f9e91a97-7a74-4369-b9a7-e2aef0aef838-cee01a05-8145-4d36-bffb-355f3fa90f0e,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),userId,108206863,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventName,widget_impression,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetName,All Sports Formats (Circular Carousel) - NCR,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isSampledWidgetImpressionRequired,False,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetId,b9607e18-5d55-42ab-b976-4cc73595fb0aSports,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_sessionId,37bf15e3-82a2-b829-e798-1f08d47f282b,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityId,Gurgaon,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_eventType,view,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_platform,APP,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetType,CIRCULAR_IMAGE_CAROUSEL_WIDGET,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_advertiserId,9013994955fb2f93,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityName,Delhi NCR,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isWidgetImpressionRequired,True,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isLoggedIn,False,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_online,True,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),createdAt,1787569372989,JSON_Payload
REQ-0003,hook.curefit.co,Binary analytics event stream (path not exposed),sessionId,973fc4f4-6ae0-4b16-959a-a702c9bc8076-95d386c1-17e9-4792-b6f6-1244a9f6caf4,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),_id,5a8829a3-e241-48bd-ac29-1ab6445e26b9-8a689e18-e6c6-4445-9bad-d81c2e3d7769,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventId,5a8829a3-e241-48bd-ac29-1ab6445e26b9-8a689e18-e6c6-4445-9bad-d81c2e3d7769,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),userId,108206863,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventName,widget_impression,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetName,All Formats (Circular Carousel) - HP,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isSampledWidgetImpressionRequired,False,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetId,b9607e18-5d55-42ab-b976-4cc73595fb0a1,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_sessionId,37bf15e3-82a2-b829-e798-1f08d47f282b,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityId,Gurgaon,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_eventType,view,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_platform,APP,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetType,CIRCULAR_IMAGE_CAROUSEL_WIDGET,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_advertiserId,9013994955fb2f93,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityName,Delhi NCR,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isWidgetImpressionRequired,True,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isLoggedIn,False,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_online,True,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),createdAt,1787569371904,JSON_Payload
REQ-0004,hook.curefit.co,Binary analytics event stream (path not exposed),sessionId,973fc4f4-6ae0-4b16-959a-a702c9bc8076-95d386c1-17e9-4792-b6f6-1244a9f6caf4,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),_id,aa4aa975-0c82-4396-b5bf-9872bafb8b0d-fdb31c33-3b93-4b91-a91d-aef12a09af8c,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventId,aa4aa975-0c82-4396-b5bf-9872bafb8b0d-fdb31c33-3b93-4b91-a91d-aef12a09af8c,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),userId,108206863,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventName,content_impression,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetName,HP Telesales Widget,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_scrollTrigger,auto,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isSampledWidgetImpressionRequired,False,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetId,1cdb4a58-6252-47eb-be14-5a31fbd83977,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_contentId,6svxz60m4g,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityId,Gurgaon,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_sessionId,37bf15e3-82a2-b829-e798-1f08d47f282b,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_platform,APP,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_widgetType,BANNER_CAROUSEL_WIDGET,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_advertiserId,9013994955fb2f93,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_contentUrl,/image/vm/c18594db-231c-4dfa-a492-cfc00ea551cd.png,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_cityName,Delhi NCR,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_dedupeId,ld1yacasryj,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isWidgetImpressionRequired,True,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_online,True,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_isLoggedIn,False,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),eventParams_position,0,JSON_Payload
REQ-0005,hook.curefit.co,Binary analytics event stream (path not exposed),createdAt,1787569370289,JSON_Payload
